username,amount,time,description
username1,20.00,08/15/19 14:02,ValleyBike Monthly Subscription
username3,90.00,08/19/19 12:05,ValleyBike Founding Member Subscription
username2,80.00,08/19/19 20:02,ValleyBike Yearly Subscription
username1,1.20,08/20/19 03:20,ValleyBike Ride
username2,1.95,08/20/19 06:09,ValleyBike Ride
username4,2.00,08/20/19 02:15,ValleyBike Pay Per Ride Pass
username4,3.35,08/20/19 03:01,ValleyBike Ride
username5,6.00,08/20/19 12:01,ValleyBike Day Pass
username5,4.20,08/20/19 01:43,ValleyBike Ride
username6,20.00,08/20/19 07:45,ValleyBike Monthly Subscription
username7,80.00,06/24/19 01:33,ValleyBike Yearly Subscription
username8,90.00,06/05/19 21:58,ValleyBike Founding Member Subscription
username9,2.00,05/21/19 18:32,ValleyBike Pay Per Ride Pass
username10,2.00,04/12/19 07:59,ValleyBike Pay Per Ride Pass
username9,3.20,08/20/19 00:56,ValleyBike Ride 
username10,6.20,08/20/19 02:42,ValleyBike Ride 
username4,2.00,08/20/19 19:41,ValleyBike Ride
username5,1.20,08/20/19 13:10,ValleyBike Ride
username9,5.60,08/20/19 16:21,ValleyBike Ride
username10,2.75,08/20/19 05:36,ValleyBike Ride
padfoot,2,12/08/19 23:57,ValleyBike Subscription
username,6,12/09/19 21:13,ValleyBike Subscription
username,0,12/09/19 21:13,ValleyBike Ride
username,6,12/09/19 21:14,ValleyBike Subscription
username,0,12/09/19 21:14,ValleyBike Ride
